S No.,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,"Tests/ 1M pop
1M pop",Population
1,USA,81686628,23974,1005056,716,64876974,189903,15804598,2214,244297,3006,981266813,2934637,334374130
2,India,43023215,1233,521131,33,42487410,1876,14674,8944,30653,371,787932913,561378,1403569179
3,Brazil,29882397,30056,659294,282,28618511,68200,604592,8318,138869,3064,63776166,296380,215183891
4,France,25276508,217480,141985,164,23092241,69041,2042282,1486,385757,2167,254106036,3878037,65524402
5,UK,20986170,45305,164974,303,18949822,46089,1871374,363,306343,2408,503418029,7348585,68505438
6,Germany,20702930,237858,129437,331,16092900,219500,4480593,2494,245734,1536,104701826,1242762,84249297
7,Russia,17803503,19660,368025,339,16737206,47229,698272,2300,121906,2520,273400000,1872049,146043158
8,Turkey,14831231,16190,97924,63,14496639,21256,236668,975,172626,1140,153227418,1783472,85915253
9,Italy,14496579,99457,159054,177,13070647,87297,1266878,487,240378,2637,199896383,3314625,60307395
10,S. Korea,12350428,347374,15423,237,,,,1215,240534,300,15804065,307796,51345828
11,Spain,11508309,14159,102392,,10875306,27569,530611,492,245976,2189,471036328,10067840,46786235
12,Vietnam,9386489,88378,42413,55,7153846,200000,2190230,3639,94948,429,84127172,850975,98859759
13,Argentina,9032162,3432,127970,27,8854645,2331,49547,555,196710,2787,35336140,769581,45916101
14,Netherlands,7806076,30729,21924,16,6310864,27373,1473288,144,453822,1275,21107399,1227122,17200729
15,Iran,7156746,2743,140109,46,6863298,4526,153339,1477,83354,1632,48991010,570592,85859981
16,Japan,6410635,32916,27831,64,5967961,44621,414843,673,50957,221,42984629,341680,125803935
17,Colombia,6084240,301,139595,10,5917334,307,27311,342,117400,2694,33877164,653686,51824827
18,Indonesia,6005646,3895,154882,108,5735055,10092,115709,2771,21561,556,91760483,329425,278547020
19,Poland,5952198,6606,114939,110,5304270,10772,532989,336,157571,3043,35534904,940709,37774610
20,Mexico,5651553,657,322761,11,4950686,1775,378106,4798,43048,2458,15527815,118275,131285461
21,Ukraine,4961717,2635,107894,33,,,,177,114649,2493,19521252,451073,43277401
22,Australia,4386988,60694,5928,31,3850408,,530652,119,168641,228,66250653,2546757,26013727
23,Malaysia,4167418,15215,34906,64,3896489,,236023,282,125957,1055,55953427,1691143,33086166
24,Israel,3894141,18019,10485,,3782095,,101561,278,417557,1124,41373364,4436346,9326000
25,Belgium,3807447,7281,30747,16,3518571,11582,258129,163,326057,2633,32719965,2802030,11677236
26,Czechia,3799186,8809,39631,26,3697164,8421,62391,93,353627,3689,54614357,5083483,10743491
27,Austria,3770412,22830,15764,58,3371749,40058,382899,238,414529,1733,174441569,19178550,9095660
28,South Africa,3715390,1557,99976,6,3602251,2024,13163,546,61303,1650,23783240,392415,60607318
29,Philippines,3677616,246,59038,8,3577433,933,41145,289,32802,527,28888596,257672,112113942
30,Thailand,3575398,21678,24961,78,3305286,27183,245151,1496,51001,356,17270775,246359,70104215
31,Peru,3545628,,212157,,,,,492,104995,6283,28614628,847352,33769469
32,Portugal,3534003,,21545,,,,,64,348347,2124,39851361,3928152,10145066
33,Canada,3460685,9766,37506,45,3280662,7796,142517,384,90317,979,59342677,1548733,38316919
34,Switzerland,3459067,18385,13681,3,2770129,11060,675257,142,394665,1561,20199118,2304637,8764557
35,Chile,3458499,3439,56464,18,2986425,25227,415610,641,178262,2910,35348678,1821983,19401212
36,Greece,2986882,29072,27392,51,2705525,24183,253965,351,289017,2651,73486501,7110710,10334622
37,Denmark,2904052,4250,5585,,2820819,9420,77648,22,498324,958,126756345,21750914,5827633
38,Romania,2847015,4276,64980,44,2606660,,175375,398,149726,3417,22028806,1158509,19014792
39,Sweden,2481736,,18155,,2427550,1483,36031,32,243101,1778,18382831,1800711,10208649
40,Iraq,2318865,415,25160,4,2281152,728,12553,44,55489,602,18315039,438271,41789264
41,Serbia,1972760,1933,15779,11,1917068,,39913,37,227375,1819,9158177,1055547,8676240
42,Bangladesh,1951432,69,29120,1,1879544,747,42768,1248,11648,174,13806564,82408,167539104
