Players,Nationality,Type,Price Paid,Team
Robin Uthappa,Indian,Batsman,"₹2,00,00,000",CSK
Dwayne Bravo,Overseas,All-Rounder,"₹4,40,00,000",CSK
Ambati Rayudu,Indian,Wicket Keeper,"₹6,75,00,000",CSK
Deepak Chahar,Indian,Bowler,"₹14,00,00,000",CSK
C.Hari Nishaanth,Indian,Batsman,"₹20,00,000",CSK
N. Jagadeesan,Indian,Wicket Keeper,"₹20,00,000",CSK
K.M. Asif,Indian,Bowler,"₹20,00,000",CSK
Tushar Deshpande,Indian,Bowler,"₹20,00,000",CSK
Shivam Dube,Indian,All-Rounder,"₹4,00,00,000",CSK
Chris Jordan,Overseas,All-Rounder,"₹3,60,00,000",CSK
Maheesh Theekshana,Overseas,Bowler,"₹70,00,000",CSK
Rajvardhan Hangargekar,Indian,All-Rounder,"₹1,50,00,000",CSK
Simarjeet Singh,Indian,Bowler,"₹20,00,000",CSK
Devon Conway,Overseas,Batsman,"₹1,00,00,000",CSK
Dwaine Pretorius,Overseas,All-Rounder,"₹50,00,000",CSK
Mitchell Santner,Overseas,All-Rounder,"₹1,90,00,000",CSK
Adam Milne,Overseas,Bowler,"₹1,90,00,000",CSK
Subhranshu Senapati,Indian,Batsman,"₹20,00,000",CSK
Mukesh Choudhary,Indian,Bowler,"₹20,00,000",CSK
Prashant Solanki,Indian,Bowler,"₹1,20,00,000",CSK
K.Bhagath Varma,Indian,All-Rounder,"₹20,00,000",CSK
David Warner,Overseas,Batsman,"₹6,25,00,000",DC
Mitchell Marsh,Overseas,All-Rounder,"₹6,50,00,000",DC
Mustafizur Rahman,Overseas,Bowler,"₹2,00,00,000",DC
Shardul Thakur,Indian,Bowler,"₹10,75,00,000",DC
Kuldeep Yadav,Indian,Bowler,"₹2,00,00,000",DC
Ashwin Hebbar,Indian,Batsman,"₹20,00,000",DC
Sarfaraz Khan,Indian,All-Rounder,"₹20,00,000",DC
Kamlesh Nagarkoti,Indian,All-Rounder,"₹1,10,00,000",DC
K.S. Bharat,Indian,Wicket Keeper,"₹2,00,00,000",DC
Mandeep Singh,Indian,Batsman,"₹1,10,00,000",DC
Syed Khaleel Ahmed,Indian,Bowler,"₹5,25,00,000",DC
Lungisani Ngidi,Overseas,Bowler,"₹50,00,000",DC
Chetan Sakariya,Indian,Bowler,"₹4,20,00,000",DC
Yash Dhull,Indian,All-Rounder,"₹50,00,000",DC
Vicky Ostwal,Indian,All-Rounder,"₹20,00,000",DC
Ripal Patel,Indian,All-Rounder,"₹20,00,000",DC
Lalit Yadav,Indian,All-Rounder,"₹65,00,000",DC
Rovman Powell,Overseas,Batsman,"₹2,80,00,000",DC
Tim Seifert,Overseas,Wicket Keeper,"₹50,00,000",DC
Pravin Dubey,Indian,All-Rounder,"₹50,00,000",DC
Mohammad Shami,Indian,Bowler,"₹6,25,00,000",GT
David Miller,Overseas,Batsman,"₹3,00,00,000",GT
Jason Roy,Overseas,Batsman,"₹2,00,00,000",GT
Wriddhiman Saha,Indian,Wicket Keeper,"₹1,90,00,000",GT
